(私自把此文件修改内容并安装到自己的播放软件并宣传死全家)
(倒卖文件或西柿TV死全家)
(此项目永久公益)
(私自修改文件内容并上传到某个网站 并说这个文件是自己维护的死全家)
(私自修改本软件名称图标直播源不换并宣传是自己做的死全家)
(此项目永久维护)
(作者测试直播地点:厦门)
(NC一天不喝奶茶就会死出品)
2025.9.14,#genre#
软件仅供学习使用,7
请在二十四小时内,8
删除本软件,8
作者qq联系方式,5
2579610865,000
频道不能播放,7
请及时私信,1
没有声音,777
请切换解码方式,p
EXO解码,4444555


CQTV公共农村,http://125.82.182.163:9999/rtp/235.254.198.186:7980
CQTV少儿,http://125.82.182.163:9999/rtp/235.254.196.214:1128
CQTV科教,http://125.82.182.163:9999/rtp/235.254.196.215:1132
CQTV生活,http://125.82.182.163:9999/rtp/235.254.196.216:1136
CQTV汽摩,http://125.82.182.163:9999/rtp/235.254.196.221:1156
睛彩重庆,http://125.82.182.163:9999/rtp/235.254.196.218:1146

湖北,#genre#
湖北公共新闻,http://171.83.99.130:8880/rtp/239.69.1.40:9880
湖北经视,http://171.83.99.130:8880/rtp/239.69.1.41:9886
湖北综合,http://171.83.99.130:8880/rtp/239.69.1.42:9892
湖北垄上,http://171.83.99.130:8880/rtp/239.69.1.43:9898
湖北影视,http://171.83.99.130:8880/rtp/239.69.1.204:10866
湖北生活,http://171.83.99.130:8880/rtp/239.69.1.205:10872
湖北教育,http://171.83.99.130:8880/rtp/239.69.1.206:10878
蔡甸综合,http://171.83.99.130:8880/rtp/239.69.1.245:11112
阳新综合,http://171.83.99.130:8880/rtp/239.69.1.34:9844
房县综合,http://171.83.99.130:8880/rtp/239.69.1.192:10794

武汉,#genre#
武汉新闻综合,http://171.83.99.130:8880/rtp/239.69.1.145:10506
武汉电视剧,http://171.83.99.130:8880/rtp/239.69.1.146:10512
武汉科技生活,http://171.83.99.130:8880/rtp/239.69.1.251:11148
武汉经济,http://171.83.99.130:8880/rtp/239.69.1.35:9850
武汉文体,http://171.83.99.130:8880/rtp/239.69.1.147:10518
武汉外语,http://171.83.99.130:8880/rtp/239.69.1.36:9856
